Unhashed Ubermedia Id	Common Evening Lat	Common Evening Long	Common Evening Country	Common Evening Census	Common Evening Micro	Common Evening Municipality	Common Evening Admin	Common Evening Province	Common Evening Postal1	Common Evening Postal2	Common Evening Custom1	Common Evening Custom2
00860db5-8dfd-4693-a954-df98596936ac	21.656052	39.124601	SAU				Jiddah					
00911e55-917c-45d2-813c-00425e7fd235	19.136012	41.904134	SAU				Al Majardah					
0093ea7e-5a39-453b-ba88-0a6da68d6fca	25.273250	55.333059	ARE					Dubai Sector I				
0096164b-4536-4e09-98b6-60c0a3313d05	24.636804	46.693283	SAU				Al Riyad					
009760f4-f91b-4e3a-a75a-85dad078f949	19.076750	72.910470	IND				Mumbai Suburban					
009b4f3f-adc3-4f37-8859-4483f3d25fb3	28.654277	77.237357	IND				Kotwali					
00a376ba-68d4-4b65-9604-f357edfc254c	51.519336	-0.427072	GBR		E01002404		Hillingdon			UB3 2		
00a599c6-9943-4179-bd36-f17f8c3c86c8	18.315997	42.701563	SAU				Khamis Mushayt					
00aa6a58-bc02-4627-ab6d-794a33550bb5	44.533429	25.988538	ROU				Mogosoaia		07	077135		
00ae0dc4-67bb-4091-b881-135918d78163	25.272766	55.300736	ARE					Dubai Sector I				
00b0517d-a918-41d5-b38c-3c4d4d6bc936	3.119125	101.674730	MYS		140044		Wilayah Persekutuan Kuala Lumpur					
00b0c119-329e-6086-bf3e-2408a44a0dd4	24.255538	54.636753	ARE					Abu Dhabi				
00b27020-d499-412b-8de8-1049074cf705	25.232940	55.277757	ARE					Dubai Sector III				
00b67e02-5bb7-4155-a770-5662e21023e8	25.386186	55.504049	ARE					Ajman				
00be683a-af17-4d38-b9f3-2d1d633fc713	21.742522	39.139470	SAU				Jiddah					
00c07d3b-2081-64b0-1db2-cb04034fbd98	25.216641	51.472933	QAT				Fereej Al Asiri Bu Hamour Mesaimeer etc					
00c318a0-3ec3-473f-9344-4d39a673c896	25.261743	55.291436	ARE					Dubai Sector III				
00c6090d-b3d6-44e6-b9cf-15ea445968f9	49.001711	1.646187	FRA		785310000	Rosny sur Seine				78710		
00cc6b92-bc10-4c95-94ae-a5391896e545	24.791267	46.692530	SAU				Al Riyad					
00d25bc5-7103-4267-909c-3e02eea3a2f4	-27.365540	152.937134	AUS	31401138614		Moreton Bay R	The Hills District	Queensland		4055		
00d348b3-3488-4ef7-a920-8ece4846c84c	18.952308	72.839458	IND				Mumbai					
00daa419-d28b-44b0-b38a-27a5fb14f537	25.314834	55.412772	ARE					Sharjah				
00dab3f0-1bae-6bbd-b3cb-001c94a0b9b8	24.379274	54.538432	ARE					Abu Dhabi				
00de75d8-0060-419f-8c28-38136a39956f	52.349676	4.892260	NLD		03632502	Amsterdam				1072		
00df46e6-7d70-488d-8207-4e3efc0abb24	25.379736	55.442898	ARE					Sharjah				
00e3304d-cd73-41a5-a38c-df39611a5092	25.067424	55.246302	ARE					Dubai Sector VI				
00e342fb-dffb-46fe-aae8-6ada819f4ff9	24.775235	46.802202	SAU				Al Riyad					
00e60b16-476b-4d4b-b8cc-0bf4212f5671	24.668337	46.718243	SAU				Al Riyad					
00eb4f58-939d-47bd-a95c-02452f92f19a	24.337674	54.488771	ARE					Abu Dhabi				
00f0d656-beb0-428a-bd15-7d08d748d1da	21.576984	39.169240	SAU				Jiddah					
00f36ae1-89fa-4c17-a49b-1a397c7103d2	24.587144	55.746489	ARE					Al Ain				
00f441e9-6c6b-427b-8e29-9c0cdd71c48e	12.871951	74.848328	IND				Mangalore					
00f4a49d-d855-49f1-9108-08ca6bc8f5f3	17.619242	54.041747	OMN				Thumrayt					
00fa78d3-d2b1-453e-90fa-388be739a79f	38.628242	-90.190029	USA	295101256003	St. Louis city	St. Louis, MO	St. Louis city	MO	63101			
01035b3e-abbd-43c0-be80-8aa732d0bb0b	13.065219	80.267637	IND				Mylapore					
0105fa50-ab5f-40a5-94be-748cc70496a4	25.276484	55.306534	ARE					Dubai Sector I				
01093cbb-626c-49e3-8b3e-df76fe955edd	52.503551	5.493660	NLD		09954112	Lelystad				8225		
010b5599-b594-43c4-a3f1-8ab866b50e11	25.121011	55.111009	ARE					Dubai Sector III				
011066ad-49a2-420b-a093-310591048705	26.439459	50.114764	SAU				Ad Dammam					
011769fa-5f24-4469-9dfb-d0325eb1bf68	25.269016	55.316816	ARE					Dubai Sector I				
011ab17f-6427-460f-8d26-a702fc161a03	25.341522	55.636663	ARE					Sharjah				
012369aa-e356-4e00-adb2-7910308d9d16	31.425695	75.732651	IND				Jalandhar I					
0123e19d-0ed7-47cd-b476-849d19d728c7	22.565573	59.452419	OMN				Sur					
012ad1e0-6dd1-4d1d-ac2e-566da4dbdbfc	25.228660	55.266202	ARE					Dubai Sector III				
012d0eac-ed43-4808-8246-705db46fec4d	42.637353	-83.124223	USA	261251940002	Rochester Hills city	Detroit, MI	Oakland County	MI	48307			
012e4864-f4c0-470a-aff1-9f9c92059aca	25.272560	55.318562	ARE					Dubai Sector I				
01353928-fe49-4603-a639-e6517663e833	37.509228	126.754542	KOR				Bucheon si					
